Raw Mark,HSC Mark
96.0,98
92.0,96
89.5,94
88.5,93
86.0,91
80.5,88
82.5,89
94.0,95
91.0,94
90.5,93
86.0,90
81.0,86
96.0,97
95.5,97
88.0,92
84.5,90
90.5,94
89.0,94
87.5,93
87.0,92
83.5,90
68.0,80
94.0,97
94.0,96
87.0,93
82.0,90
76.0,86
66.0,80
81.5,88
89.5,94
88.5,93
85.5,91
84.0,90
70.0,80
94.0,95
87.0,91
85.0,90
85.0,92
90.0,94
91.0,94
85.0,91
71.0,82
93.0,95
92.0,95
91.0,94
