Raw Mark,HSC Mark
87,96
81,94
70,91
50,75
85,95
78,93
71,90
66,86
64,84
66,90
54,80
43,71
32,61
84,96
76,94
67,91
65,91
51,80
50,79
41,72
93,98
92,98
77,93
76,92
65,88
56,80
90,95
89,95
66,79
79,92
65,82
76,91
72,90
41,63
97,98
86,94
77,90
53,85
