Raw Mark,HSC Mark
89.5,95
89.0,95
85.5,93
85.0,92
81.5,91
74.5,87
74.0,86
90.5,96
86.0,93
85.5,93
81.5,91
71.5,84
78.5,89
68.5,81
85.5,93
54.0,74
78.5,89
96.5,98
95.5,98
89.5,94
82.0,90
68.5,80
85.0,91
