Raw Mark,HSC Mark
94,97
93,97
88,94
84,92
78,89
77,89
73,86
91,96
90,95
87,94
80,90
79,89
77,87
76,86
71,84
95,97
94,97
89,94
86,92
82,90
97,97
92,93
90,91
89,90
86,88
74,80
54,70
96,98
82,90
80,89
95,98
81,91
83,93
76,90
59,85
82,92
81,90
78,88
69,81
65,79
89,94
83,91
83,90
67,77
