Raw Mark,HSC Mark
94,95
86,89
83,87
93,94
90,92
76,82
89,92
86,90
88,95
86,94
85,93
78,90
69,83
65,80
57,74
53,71
38,60
90,94
86,92
79,87
78,86
70,80
55,70
70,88
62,82
58,79
84,94
81,93
79,93
74,91
65,85
61,82
59,80
50,73
80,88
